label_id,sub-category,category
1,unknown,unknown
2,game-game type,game
3,game-Game themes,game
4,game-Art Style,game
5,game-Leisure time,game
6,game-Cutting things,game
7,game-Finding fault,game
8,game-stress reliever,game
9,game-pet,game
10,game-Answer,game
11,game-Fishing,game
12,game-Music and Dance,game
13,game-Puzzle,game
14,game-Adventure puzzle,game
15,game-Parkour Racing,game
16,game-Parkour,game
17,game-Racing,game
18,game-Motorcycle,game
19,game-Rowing,game
20,game-aircraft,game
21,game-Gem Elimination,game
22,game-Box,game
23,game-gem,game
24,game-Lianliankan,game
25,game-Zuma,game
26,game-Bobble,game
27,game-Cartoon,game
28,game-Online game,game
29,game-Role -playing games,game
30,game-Competitive action,game
31,game-Tactics,game
32,game-card,game
33,game-Business simulation,game
34,game-Action Shooting,game
35,game-Horizontal version,game
36,game-shooting,game
37,game-3D,game
38,game-flight,game
39,game-tank,game
40,game-Snipe,game
41,poker and chess,game
42,poker game_doudizhu,game
43,chess,game
44,majiang,game
45,table game,game
46,Texas Poker,game
47,poker,game
48,Children puzzle game,game
49,Puzzle,game
50,Literacy Games,game
51,Intellectual development game,game
52,math,other
53,Guard tower defense game,game
54,checkpoints game,game
55,Beach landing game,game
56,fighting game,game
57,old style game,game
58,basketball,game
59,football,game
60,tennis,game
61,billards,game
62,other ball game,game
63,RPG game,game
64,Turn based RPG game,game
65,realtime fighting,game
66,ARPG,game
67,business strategy game,game
68,war chess,game
69,business,other
70,farm,game
71,raising up game,game
72,pet raising up,game
73,love raising up,game
74,unknown,unknown
75,puzzel,game
76,gambling,game
77,3 kindom game,game
78,knight game,game
79,Cultivation fantasy game,game
80,Journey to the West game,game
81,Outlaws of the Marsh game,game
82,Chinese Classical Mythology,game
83,Western Mythology,game
84,80s Japanese comic,entertainment
85,90s Japanese comic,entertainment
86,movie,entertainment
87,shows,entertainment
88,millitary and wars,entertainment
89,science fiction,entertainment
90,zombies game,game
91,World of Warcraft,game
92,magic,game
93,dotal-lol,game
94,sailing game,game
95,sports,game
96,Chinese painting,game
97,japanese and korean style,game
98,japanese comic and animation,entertainment
99,US and Europe animation,entertainment
100,Cute style comic,entertainment
101,pixel style comic,entertainment
102,violence comic,entertainment
103,US and Europe magic comic,entertainment
104,realistic style comic,entertainment
105,chinese comic,entertainment
115,unknown,unknown
125,unknown,unknown
126,unknown,unknown
127,online shopping,shopping
128,online malls,shopping
129,"online shopping by group, like groupon",shopping
130,online shopping navigation,shopping
131,"online shopping, price comparing",shopping
132,shopping sharing,shopping
133,education,education
134,education for babies,education
135,education outside class,education
136,study abroad,education
137,foreign language,education
138,professional skills,education
139,management,education
140,art and culture,education
141,library,education
142,exams,education
143,dialects,education
144,class managemetn,education
145,reading,book
146,reading for fetus,book
147,children books,book
148,novels,book
149,magazine and journal,book
150,comics,book
151,dictionary,book
152,reading platform,book
153,poetry,book
154,joke,book
155,psychology,book
156,science,book
157,Information,book
158,news,book
159,Entertainment News,book
160,Academic Information,book
161,Sports News,book
162,Financial Information,book
163,Technology Information,book
164,gaming strategy,book
165,Socially,social networking
166,weibo,social networking
167,love and marriage,social networking
168,community,social networking
169,picture sharing,social networking
170,blogs,social networking
171,communitation,social networking
172,IM,social networking
173,mesasge,social networking
174,email,social networking
175,phone,social networking
176,movie,entertainment
177,radio,entertainment
178,music,entertainment
179,video,entertainment
180,show,entertainment
181,Audiobooks,book
182,Business Travel,travel
183,map,travel
184,navigation,travel
185,Behalf of the drive,travel
186,Taxi,travel
187,Car,travel
188,flight,travel
189,Bus,travel
190,train,travel
191,Hotel application,travel
192,Travel advisory,travel
193,tourism product,travel
194,Share Travels,travel
195,coach transport,travel
196,Household,household
197,Decoration,household
198,Appliances,household
199,Furniture,household
200,household products,household
201,Smart Home,household
202,health,health
203,lose weight,health
204,sports and gym,health
205,health,health
206,Medical,health
207,Health Management,health
208,Living,health
209,pictures photography,photography
210,Man playing favorites,other
211,takeaway ordering,utilities
212,Astrology Horoscope,utilities
213,coupon,utilities
214,Reviews,utilities
215,Recipes,utilities
216,Business Office,utilities
217,Weather,utilities
218,Clock,utilities
219,Express,utilities
220,Calendar,utilities
221,Accounting,utilities
222,Car Owners,vehicle
223,convenience services,utilities
224,fashion outfit,shopping
225,Points Activities,lifestyle
226,Housekeeping,lifestyle
227,Integrated Living,lifestyle
228,work,lifestyle
229,Jobs,lifestyle
230,Scheduling,utilities
231,notes,utilities
232,notes,utilities
233,File Editor,utilities
234,business cards,utilities
235,Contacts,utilities
236,network disk,utilities
237,store management,utilities
238,Engineering Drawing,utilities
239,phone tools,utilities
240,System Tools,utilities
241,App Store,utilities
242,search,utilities
243,Input Method,utilities
244,Browser,utilities
245,Desktop Enhancements,utilities
246,readers,utilities
247,Utilities,utilities
248,,
249,Editor,utilities
250,WIFI,utilities
251,Finance,finance
252,Wealth Management,finance
253,IMF,finance
254,Direct Bank,finance
255,Direct Insurance,finance
256,Securities,finance
257,futures,finance
258,Exchange,finance
259,Precious Metals,finance
260,Crowdfunding financing,finance
261,Lottery ticket,finance
262,Pay,finance
263,Debit and credit,finance
264,,
265,Estate,estate
266,Housing Advice,estate
267,Buy,estate
268,Sellers,estate
269,Rentals,estate
270,Mother,health
271,Prepare pregnant pregnancy,health
272,Parenting,health
273,Maternal and child supplies,health
274,entertainment,entertainment
275,KTV,entertainment
276,show,entertainment
277,the film,entertainment
278,car,vehicle
279,Automotive News,vehicle
280,Sale of cars,vehicle
281,A beauty care,beauty
282,Skin care applications,beauty
283,Beauty Nail,beauty
284,Make-up application,beauty
302,unknown,unknown
303,unknown,unknown
304,unknown,unknown
305,unknown,unknown
306,unknown,unknown
312,Consumer preferences,business
313,Consumer Goods,business
314,Consumer orientation,business
315,Brand Country,business
316,Occupational identity,business
317,College Students,education
318,unknown,unknown
319,unknown,unknown
320,unknown,unknown
326,Condition of the vehicles,vehicle
327,Car,vehicle
328,No Car,vehicle
329,Jewelry Watches,shopping
330,branded watch,shopping
331,fashion brand,shopping
332,Switzerland,shopping
333,Dress shoes,shopping
334,Women,shopping
335,Shoes,shopping
336,Men's,shopping
337,Men's Shoes,shopping
338,France,region
339,Hong Kong,region
340,Japan,region
341,High-end brand,shopping
342,United States,region
343,Outdoor sport,shopping
344,Germany,region
345,underwear,shopping
346,Home Clothing,shopping
347,Volkswagen brand,shopping
348,Sweden,region
349,Accessories,shopping
350,Italy,region
351,Household utensils,shopping
352,bed linings,shopping
353,Kids,shopping
354,Sports Health,shopping
355,outdoor equipment,shopping
356,China Mainland,region
357,Bags,shopping
358,Lady bags,shopping
359,Taiwan,region
360,Baby Products,shopping
361,Baby Clothing,shopping
362,M package,shopping
363,wallet,shopping
364,Digital,shopping
365,camera,shopping
366,Culture and Education,education
367,Office Supplies,shopping
368,"Jewelry, jewelry",shopping
369,Swimming Supplies,shopping
370,Canada,region
371,Phone,shopping
372,Digital Accessories,shopping
373,computer,shopping
374,Luxury brand,shopping
375,cosmetic,beauty
376,Fragrance oils,beauty
377,Feature Pack,beauty
378,Suitcase,shopping
379,Makeup,beauty
380,Skin Care,beauty
381,FOOD,food
382,Fast food meals,food
383,Day feed,food
384,Home Decoration,household
385,United Kingdom,region
386,Collection process,entertainment
387,Korea,region
388,Austria,region
389,Spain,region
390,Household appliances,household
391,home appliances,household
392,Bathroom products,household
393,Pregnant mother supplies,kids
394,Shoes,shopping
395,Norway,region
396,Western Dinner,food
397,Kitchen Appliances,household
398,Australia,region
399,Leisure and entertainment,entertainment
400,Children's entertainment,entertainment
401,SPA,entertainment
402,Water Coffee Bar,entertainment
403,Domestic services,entertainment
404,Nail Tattoos,entertainment
405,Custom label,business
406,unknown,unknown
407,DS_P2P net loan,finance
408,Location,utilities
409,Go places,other
410,High places,other
411,Four five-star hotel,travel
412,Golf Club,sport
413,ski facility,sport
414,transportation hub,travel
415,AIRPORT,travel
416,Culture & Education,education
417,the University,education
418,High school,education
419,Tourist attractions,travel
420,hospital,health
421,Portugal,region
422,Large household appliances,household
423,Baby food,food
424,Snacks Snacks,food
425,Retail stores,shopping
426,Tobacco row,shopping
427,Decoration materials,lifestyle
