"","device_id","n_distinct(app_id)"
"1",-9222956879900150784,73
"2",-9221026417907251200,39
"3",-9220830859283100672,13
"4",-9220061629197656064,84
"5",-9218960997324667904,30
"6",-9218769147970107392,31
"7",-9217193238265897984,11
"8",-9216200545381120000,13
"9",-9215964883962798080,10
"10",-9215766592714661888,18
"11",-9215352913819638784,14
"12",-9214243372173201408,18
"13",-9213722931755358208,14
"14",-9212424538588397568,29
"15",-9212412905070443520,28
"16",-9209849644716289024,32
"17",-9208560418953812992,21
"18",-9206899042396323840,15
"19",-9206882335892076544,30
"20",-9206202041936929792,47
"21",-9205645091197548544,58
"22",-9205293319808660480,15
"23",-9205185018270018560,35
"24",-9204782609839901696,18
"25",-9.202108340586e+18,30
"26",-9201434269962947584,29
"27",-9201141107731296256,50
"28",-9201125158282496000,73
"29",-9200975789875358720,28
"30",-9198513807097377792,50
"31",-9197301066560262144,19
"32",-9195844738096952320,15
"33",-9195568263718054912,38
"34",-9193015452864618496,40
"35",-9192503757087427584,118
"36",-9.191986234752e+18,13
"37",-9191390827140275200,23
"38",-9190825597212946432,25
"39",-9186795909905698816,31
"40",-9185683155567867904,116
"41",-9185115130004279296,41
"42",-9185095540883605504,12
"43",-9184903836810508288,54
"44",-9184179133460531200,60
"45",-9182923830743954432,12
"46",-9182270938122266624,19
"47",-9182040156710847488,43
"48",-9181603575279521792,32
"49",-9181500556164740096,27
"50",-9178849278691786752,18
"51",-9178218952026352640,16
"52",-9177461074950576128,49
"53",-9176548072202141696,10
"54",-9176094791256868864,23
"55",-9175623150662212608,52
"56",-9174709762639368192,40
"57",-9174409012143247360,32
"58",-9174142387982011392,32
"59",-9173774246501780480,44
"60",-9173470456704183296,39
"61",-9172470603844360192,47
"62",-9171984829241460736,19
"63",-9171692083851603968,27
"64",-9171634610175382528,25
"65",-9170269697234054144,51
"66",-9170266620213362688,150
"67",-9169899275162689536,28
"68",-9167960113940185088,39
"69",-9167060588995723264,44
"70",-9165078741528677376,11
"71",-9163358550512865280,32
"72",-9162848328412258304,51
"73",-9161779555521396736,20
"74",-9161182792644589568,20
"75",-9161106488982207488,34
"76",-9160772583967929344,39
"77",-9160645806948539392,20
"78",-9159362333654849536,18
"79",-9158733571974618112,26
"80",-9158402583451458560,48
"81",-9158393146383062016,53
"82",-9156769850272239616,17
"83",-9156025818459960320,9
"84",-9155576106019233792,34
"85",-9155219102136125440,17
"86",-9154634736868150272,14
"87",-9153933338384923648,55
"88",-9153359559453120512,55
"89",-9151932079029728256,49
"90",-9151380756297883648,15
"91",-9150780438608446464,32
"92",-9150058871674889216,27
"93",-9150025819192448000,25
"94",-9149005536079835136,58
"95",-9148504360104384512,38
"96",-9148047433554847744,35
"97",-9146895209498043392,94
"98",-9146464840760394752,30
"99",-9142943697566921728,93
"100",-9142376725008534528,42
"101",-9140293699412994048,44
"102",-9139757358587513856,33
"103",-9139549651607370752,24
"104",-9139512098545222656,40
"105",-9138332636663558144,46
"106",-9138064863526363136,19
